item, price 
Amazon Essentials, $24.83$24.83

Capezio, $61.83$61.83

Under Armour, $59.46$59.46

N\C, $54.99$54.99

Skechers, $41.31$41.31

Best Overall, $40.28$40.28

Skechers, $40.28$40.28

ASICS, $64.95$64.95

PUMA, $55.20$55.20

New Balance, $52.97$52.97

206 Collective, $65.00$65.00

Amazon Essentials, $35.00$35.00

Amazon Essentials, $30.00$30.00

Amazon Essentials, $18.00$18.00

Amazon Essentials, $36.80$36.80

"shoes for men", $56.95$56.95

ASICS, $56.95$56.95

Polo Ralph Lauren, $39.95$39.95

Nike, $64.64$64.64

ASICS, $64.95$64.95

adidas, $44.20$44.20

New Balance, $52.97$52.97

ASICS, $54.54$54.54

Skechers, $40.28$40.28

adidas, $44.20$44.20

Merrell, $74.49$74.49

Skechers, $42.95$42.95

Nike, $74.24$74.24

Hey Dude, $59.95$59.95

adidas, $49.98$49.98

Concept 3 by Skechers, $28.40$28.40

Otomix, $89.00$89.00

TIAMOU, $40.99$40.99

Lugz, $25.00$25.00

Dr. Scholl's Shoes, $57.39$57.39

Skechers, $54.95$54.95

adidas, $49.75$49.75

Skechers, $40.35$40.35

New Balance, $59.99$59.99

Hey Dude, $59.95$59.95

Fila, $39.96$39.96

Under Armour, $59.99$59.99

Skechers, $42.22$42.22

Skechers, $55.32$55.32

Arkbird, $55.99$55.99

Kizik, $99.00$99.00

Arkbird, $89.99$89.99

ASICS, $64.95$64.95

Hey Dude, $59.95$59.95

Under Armour, $52.90$52.90

Skechers, $52.08$52.08

Mizuno, $76.00$76.00

Crocs, $44.95$44.95

New Balance, $52.49$52.49

adidas, $66.94$66.94

adidas, $69.99$69.99

Merrell, $70.19$70.19

adidas, $74.98$74.98

Under Armour, $79.95$79.95

Crocs, $44.99$44.99

Skechers, $35.83$35.83

adidas, $60.00$60.00

New Balance, $79.99$79.99

ASICS, $39.95$39.95

Rockport, $60.07$60.07

New Balance, $104.19$104.19

Merrell, $60.12$60.12

Skechers, $45.95$45.95

New Balance, $101.90$101.90

Nike, $80.98$80.98

Amazon Essentials, $30.00$30.00

Under Armour, $22.00$22.00

Fila, $39.99$39.99

Fila, $45.90$45.90

